table,key,ko,en,ja,zh-Hans,note
CNT_Item,CNT_Fig_GuanyinCrown_DESC,"[풀하우스] 완성 시 칩수 +30, 골드 +30",+30 Chips and +30 gold on completing [Full House],[フルハウス]完成時、チップ+30、ゴールド+30,完成【葫芦】时，筹码+30，金币+30,
CNT_Item,CNT_Fig_JaguarDoll_NAME,재규어 인형,Jaguar Doll,ジャガーの人形,美洲豹玩偶,
CNT_Item,CNT_Fig_JaguarDoll_DESC,[눈금 6] 3개 이상 결산 시 칩수 +30,+30 Chips when 3 or more dice showing [6] are scored,[目6]が3個以上決算されるとチップ+30,结算中出现3个以上[点数6]时，筹码+30,
CNT_Item,CNT_Fig_MangroveMushroom_NAME,맹그로브 버섯,Mangrove Mushroom,マングローブキノコ,红树林蘑菇,
CNT_Item,CNT_Fig_MangroveMushroom_DESC,전투 종료 시 남은 스낵 1개당 체력 +3 회복,Restores 3 HP for each remaining Snack at the end of battle,戦闘終了時、残っているスナック1個につきHP+3回復,战斗结束时，每剩余1个零食恢复3点体力,
CNT_Item,CNT_Fig_ButterflyRing_NAME,나비 반지,Butterfly Ring,蝶の指輪,蝴蝶戒指,
CNT_Item,CNT_Fig_ButterflyRing_DESC,주사위 코팅 구매 비용 20% 할인,Dice coating purchase cost -20%,サイコロコーティングの購入費用20%割引,骰子涂层购买费用减少20%,
CNT_Item,CNT_Fig_Banana_NAME,바나나,Banana,バナナ,香蕉,
CNT_Item,CNT_Fig_Banana_DESC,[눈금 3] 3개 이상 결산 시 최대 체력 +1,+1 max HP when 3 or more dice showing [3] are scored,[目3]が3個以上決算されると最大HP+1,结算中出现3个以上[点数3]时，最大体力+1,
CNT_Item,CNT_Fig_VineMask_NAME,덩굴 가면,Vine Mask,蔓の仮面,藤蔓面具,
CNT_Item,CNT_Fig_VineMask_DESC,적 스킬 사용 시 30% 확률로 무효화,30% chance to nullify an enemy skill when used,敵がスキルを使用した時、30%の確率で無効化,敌人使用技能时，有30%概率使其无效,
CNT_Item,CNT_Fig_BananaCrown_NAME,바나나 왕관,Banana Crown,バナナの王冠,香蕉王冠,
CNT_Item,CNT_Fig_BananaCrown_DESC,최대 체력 +10%,+10% max HP,最大HP+10%,最大体力+10%,
CNT_Item,CNT_Fig_FennecTail_NAME,사막여우 꼬리,Desert Fox Tail,砂漠狐の尾,沙漠狐尾,
CNT_Item,CNT_Fig_FennecTail_DESC,[투 페어] 완성 시 배수 +1.5,+1.5 multiplier on completing [Two Pair],[ツーペア]完成時、倍率+1.5,完成【两对】时，倍率+1.5,
CNT_Item,CNT_Fig_SandShield_NAME,모래 방패,Sand Shield,砂の盾,沙盾,
CNT_Item,CNT_Fig_SandShield_DESC,피격 시 받는 피해 5 감소,Reduces damage taken by 5 when hit,被弾時のダメージ-5,受到攻击时伤害减少5点,
CNT_Item,CNT_Fig_SandNecklace_NAME,모래 목걸이,Sand Necklace,砂の首飾り,沙项链,
CNT_Item,CNT_Fig_SandNecklace_DESC,주사위 위성 구매 비용 20% 할인,Satellite purchase cost -20%,サイコロ衛星の購入費用20%割引,卫星购买费用减少20%,
CNT_Item,CNT_Fig_CactusPot_NAME,선인장 화분,Cactus Pot,サボテンの鉢,仙人掌花盆,
CNT_Item,CNT_Fig_CactusPot_DESC,피격 시 적에게 피해 5 반사,Reflects 5 damage to the enemy when hit,被弾時、敵に5ダメージを反射,受到攻击时，反弹5点伤害给敌人,
CNT_Item,CNT_Fig_BottledMirage_NAME,유리병 속 신기루,Mirage in a Bottle,瓶の中の蜃気楼,瓶中幻影,
CNT_Item,CNT_Fig_BottledMirage_DESC,[누적 처치 30] 달성 시 1회 부활 (0/30),Revive once upon reaching [30 cumulative kills] (0/30),[累計撃破30]達成時に1回復活する(0/30),达成【累计击杀30】时复活1次（0/30）,
CNT_Item,CNT_Fig_SandwormDoll_NAME,모래벌레 인형,Sandworm Doll,サンドワームの人形,沙虫玩偶,
CNT_Item,CNT_Fig_SandwormDoll_DESC,[스트레이트] 완성 시 배수 +2.0,+2.0 multiplier on completing [Straight],[ストレート]完成時、倍率+2.0,完成【顺子】时，倍率+2.0,
CNT_Item,CNT_Fig_Hourglass_NAME,모래시계,Hourglass,砂時計,沙漏,
CNT_Item,CNT_Fig_Hourglass_DESC,매 전투 첫 턴에 리롤 기회 +1,+1 reroll on the first turn of every battle,毎戦闘の最初のターンにリロール回数+1,每场战斗的第一回合，重投次数+1,
CNT_Item,CNT_Fig_Tutankhamun_NAME,투탕카멘,Tutankhamun,ツタンカーメン,图坦卡蒙,
CNT_Item,CNT_Fig_Tutankhamun_DESC,[야추] 완성 시 전투 승리 보상 골드 2배,Doubles gold from battle victory rewards after completing [Yacht],[ヤッツィー]完成時、戦闘勝利報酬のゴールドが2倍になる,完成【快艇】时，战斗胜利奖励金币翻倍,
CNT_Item,CNT_Fig_PhilosophersStone_NAME,현자의 돌,Sage's Stone,賢者の石,贤者之石,
CNT_Item,CNT_Fig_PhilosophersStone_DESC,"[스트레이트] 완성 시 코팅 진행도 +1 (누적 0/5, 달성 시 무작위 코팅 1개 획득)","+1 Coating progress on completing [Straight] (0/5 stacks; upon reaching 5, gain 1 random Coating)",[ストレート]完成時、コーティング進行度+1(累積0/5、達成時にランダムなコーティングを1個獲得),完成【顺子】时，涂层进度+1（累计0/5，达成时获得1个随机涂层）,
CNT_Item,CNT_Fig_GargoyleDice_NAME,가고일 주사위,Gargoyle Dice,ガーゴイルダイス,石像鬼骰子,
CNT_Item,CNT_Fig_GargoyleDice_DESC,[눈금 3] 3개 이상 결산 시 칩수 +44,+44 Chips when 3 or more dice showing [3] are scored,[目3]が3個以上決算されるとチップ+44,结算中出现3个以上[点数3]时，筹码+44,
CNT_Item,CNT_Fig_DartDice_NAME,다트 주사위,Dart Dice,ダーツダイス,飞镖骰子,
CNT_Item,CNT_Fig_DartDice_DESC,[원 페어] 완성 시 현재 칩수만큼 적에게 피해,"On completing [One Pair], deal damage to the enemy equal to your current Chip count",[ワンペア]完成時、現在のチップ数と同じ量のダメージを敵に与える,完成【一对】时，对敌人造成等同于当前筹码数的伤害,
CNT_Item,CNT_Fig_GoldSkull_NAME,황금 해골,Golden Skull,黄金の髑髏,黄金骷髅,
CNT_Item,CNT_Fig_GoldSkull_DESC,전투 종료 시 소지 골드의 10% 추가 획득,Gain an extra 10% of your current gold at the end of battle,戦闘終了時、所持ゴールドの10%を追加獲得,战斗结束时，额外获得所持金币的10%,
CNT_Item,CNT_Fig_TreasureChest_NAME,보물상자,Treasure Chest,宝箱,宝箱,
CNT_Item,CNT_Fig_TreasureChest_DESC,전투 승리 보상 선택지 +1개 (총 2개 중 선택),+1 battle victory reward option (choose 1 from 2 total),戦闘勝利報酬の選択肢+1個(合計2個から選択),战斗胜利奖励选项+1个（共2个中选择）,
CNT_Item,CNT_Fig_GiantEmblem_NAME,거신의 징표,Titan's Sigil,巨神の証,巨神徽记,
CNT_Item,CNT_Fig_GiantEmblem_DESC,[포카드] 완성 시 적에게 피해 80,Deals 80 damage to the enemy on completing [Four of a Kind],[フォーカード]完成時、敵に80ダメージ,完成【四条】时，对敌人造成80点伤害,
CNT_Item,CNT_Fig_HardHat_NAME,안전모,Safety Helmet,安全ヘルメット,安全帽,
CNT_Item,CNT_Fig_HardHat_DESC,"최대 체력 +30, 체력 30% 이하일 때 받는 피해 40% 감소",+30 max HP; damage taken reduced by 40% when HP is 30% or below,最大HP+30。HPが30%以下の時、受けるダメージ40%減少,最大体力+30；体力在30%以下时，受到的伤害减少40%,
CNT_Item,CNT_Fig_Candle_NAME,양초,Candle,蝋燭,蜡烛,
CNT_Item,CNT_Fig_Candle_DESC,시야 방해 및 어둠 디버프를 완전 면역,Complete immunity to vision-blocking and darkness debuffs,視界妨害および暗闇デバフを完全免疫,完全免疫视野遮蔽与黑暗类减益效果,
CNT_Item,CNT_Fig_ObsidianCube_NAME,흑요석 큐브,Obsidian Cube,黒曜石のキューブ,黑曜石方块,
CNT_Item,CNT_Fig_ObsidianCube_DESC,[눈금 4] 3개 이상 결산 시 보호막 +35,+35 Shield when 3 or more dice showing [4] are scored,[目4]が3個以上決算されるとシールド+35,结算中出现3个以上[点数4]时，护盾+35,
CNT_Item,CNT_Fig_BatDice_NAME,박쥐 주사위,Bat Dice,コウモリダイス,蝙蝠骰子,
CNT_Item,CNT_Fig_BatDice_DESC,가한 피해량의 15%만큼 체력 흡수,Drains HP equal to 15% of damage dealt,与えたダメージの15%分HPを吸収,吸取造成伤害的15%作为体力,
CNT_Item,CNT_Fig_AncientRune_NAME,고대의 룬,Ancient Rune,古代のルーン,古代符文,
CNT_Item,CNT_Fig_AncientRune_DESC,[야추] 완성 시 무작위 족보 레벨 +1,+1 level to a random hand on completing [Yacht],[ヤッツィー]完成時、ランダムな役のレベル+1,完成【快艇】时，随机一个牌型等级+1,
CNT_Item,CNT_Fig_HellhoundFang_NAME,지옥견 송곳니,Hellhound Fang,地獄犬の牙,地狱犬之牙,
CNT_Item,CNT_Fig_HellhoundFang_DESC,[눈금 3] 또는 [눈금 5] 3개 이상 결산 시 적에게 화상 30 부여,Applies 30 Burn to the enemy when 3 or more dice showing [3] or [5] are scored,[目3]または[目5]が3個以上決算されると敵に火傷30付与,结算中出现3个以上[点数3]或[点数5]时，对敌人施加30点灼烧,
CNT_Item,CNT_Fig_LavaJelly_NAME,용암 젤리,Lava Jelly,溶岩ゼリー,熔岩果冻,
CNT_Item,CNT_Fig_LavaJelly_DESC,스낵 사용 시 적에게 화상 4 부여,Applies 4 Burn to the enemy when a Snack is used,スナック使用時、敵に火傷4付与,使用零食时，对敌人施加4点灼烧,
CNT_Item,CNT_Fig_FlameCollar_NAME,화염 목줄,Flame Collar,炎の首輪,火焰项圈,
CNT_Item,CNT_Fig_FlameCollar_DESC,전투 시작 시 적에게 화상 20 부여,Applies 20 Burn to the enemy at the start of battle,戦闘開始時、敵に火傷20付与,战斗开始时，对敌人施加20点灼烧,
CNT_Item,CNT_Fig_LavaMask_NAME,용암 가면,Lava Mask,溶岩の仮面,熔岩面具,
CNT_Item,CNT_Fig_LavaMask_DESC,체력이 15% 이하로 떨어지면 적에게 화상 120 부여,Applies 120 Burn to the enemy when your HP drops to 15% or below,HPが15%以下まで下がると敵に火傷120付与,体力降至15%以下时，对敌人施加120点灼烧,
CNT_Item,CNT_Fig_BumpyHelmet_NAME,울퉁불퉁 헬멧,Bumpy Helmet,でこぼこヘルメット,凹凸头盔,
CNT_Item,CNT_Fig_BumpyHelmet_DESC,받는 피해 10% 감소,Damage taken reduced by 10%,受けるダメージ10%減少,受到的伤害减少10%,
CNT_Item,CNT_Fig_PhoenixFeather_NAME,불사조 깃털,Phoenix Feather,不死鳥の羽根,凤凰羽毛,
CNT_Item,CNT_Fig_PhoenixFeather_DESC,[회차당 1회] 사망 시 최대 체력 100%로 즉시 부활,[Once per run] Instantly revive with 100% max HP upon death,[1回のランで1回]死亡時、最大HP100%で即座に復活,【每局1次】死亡时立即以100%最大体力复活,
CNT_Item,CNT_Fig_VolcanicWeb_NAME,화산 거미줄,Volcanic Web,火山の蜘蛛の糸,火山蜘蛛丝,
CNT_Item,CNT_Fig_VolcanicWeb_DESC,리롤 4회마다 적에게 화상 20 부여 (누적 0/4),Applies 20 Burn to the enemy every 4 rerolls (0/4 stacks),リロール4回ごとに敵に火傷20付与(累積0/4),每重投4次，对敌人施加20点灼烧（累计0/4）,
CNT_Item,CNT_Fig_WyrmlingEgg_NAME,아룡의 알,Drake Egg,亜竜の卵,亚龙之卵,
CNT_Item,CNT_Fig_WyrmlingEgg_DESC,[야추] 완성 시 보유 피규어 수만큼 배수 +0.1,+0.1 multiplier per Figure owned on completing [Yacht],[ヤッツィー]完成時、所持フィギュア数につき倍率+0.1,完成【快艇】时，按持有手办数量增加倍率+0.1,
CNT_Item,CNT_Fig_ZombieMushroom_NAME,좀비 버섯,Zombie Mushroom,ゾンビキノコ,僵尸蘑菇,
CNT_Item,CNT_Fig_ZombieMushroom_DESC,[회차당 1회] 사망 시 최대 체력 10%로 즉시 부활,[Once per run] Instantly revive with 10% max HP upon death,[1回のランで1回]死亡時、最大HP10%で即座に復活,【每局1次】死亡时立即以10%最大体力复活,
CNT_Item,CNT_Fig_WitchLantern_NAME,마녀의 랜턴,Witch's Lantern,魔女のランタン,女巫提灯,
CNT_Item,CNT_Fig_WitchLantern_DESC,[스트레이트] 완성 시 적의 패시브 2턴간 무효화,Nullifies the enemy's passive for 2 turns on completing [Straight],[ストレート]完成時、敵のパッシブを2ターン無効化,完成【顺子】时，使敌人被动效果失效2回合,
CNT_Item,CNT_Fig_LizardTail_NAME,도마뱀 꼬리,Lizard Tail,トカゲの尾,蜥蜴尾,
CNT_Item,CNT_Fig_LizardTail_DESC,[회차당 1회] 사망 시 최대 체력 50%로 즉시 부활,[Once per run] Instantly revive with 50% max HP upon death,[1回のランで1回]死亡時、最大HP50%で即座に復活,【每局1次】死亡时立即以50%最大体力复活,
CNT_Item,CNT_Fig_HydraDoll_NAME,히드라 인형,Hydra Doll,ヒドラの人形,九头蛇玩偶,
CNT_Item,CNT_Fig_HydraDoll_DESC,[트리플] 완성 시 배수 +3.0,+3.0 multiplier on completing [Triple],[スリーカード]完成時、倍率+3.0,完成【三条】时，倍率+3.0,
CNT_Item,CNT_Fig_Sandcastle_NAME,모래성,Sandcastle,砂の城,沙堡,
CNT_Item,CNT_Fig_Sandcastle_DESC,전투 종료 시 최대 체력 +1,+1 max HP at the end of battle,戦闘終了時、最大HP+1,战斗结束时，最大体力+1,
CNT_Item,CNT_Fig_CoconutHelmet_NAME,코코넛 헬멧,Coconut Helmet,ココナッツヘルメット,椰子头盔,
CNT_Item,CNT_Fig_CoconutHelmet_DESC,최대 체력 +50,+50 max HP,最大HP+50,最大体力+50,
CNT_Item,CNT_Fig_LobsterDoll_NAME,가재 인형,Crayfish Doll,ザリガニの人形,小龙虾玩偶,
CNT_Item,CNT_Fig_LobsterDoll_DESC,"[투 페어] 완성 시 칩수 +40, 더 높은 페어의 눈×10만큼 칩수 추가","+40 Chips on completing [Two Pair], plus additional Chips equal to the higher pair's pip value ×10",[ツーペア]完成時、チップ+40、より高いペアの目×10分のチップを追加,完成【两对】时，筹码+40，另外按较高一对的点数×10增加筹码,
CNT_Item,CNT_Fig_OldLetter_NAME,남겨진 편지,Letter Left Behind,残された手紙,留下的信,
CNT_Item,CNT_Fig_OldLetter_DESC,활성화된 도감 시너지 1개당 칩수 +10,+10 Chips for each active Collection Synergy,発動中の図鑑シナジー1個につきチップ+10,每激活1个图鉢联动，筹码+10,
CNT_Item,CNT_Fig_Seashell_NAME,조개 껍질,Clam Shell,貝殻,贝壳,
CNT_Item,CNT_Fig_Seashell_DESC,전투 종료 시 남은 주사위 1개당 골드 +50,+50 gold for each remaining die at the end of battle,戦闘終了時、残っているサイコロ1個につきゴールド+50,战斗结束时，每剩余1个骰子获得50金币,
CNT_Item,CNT_Fig_CaptainHat_NAME,선장의 모자,Captain's Hat,船長の帽子,船长帽,
CNT_Item,CNT_Fig_CaptainHat_DESC,[풀하우스] 완성 시 칩수 +60 (전투당 최초 완성 시 +60 추가),+60 Chips on completing [Full House] (an additional +60 the first time per battle),[フルハウス]完成時、チップ+60(戦闘ごとの最初の完成時はさらに+60),完成【葫芦】时，筹码+60（每场战斗首次完成额外+60）,
CNT_Item,CNT_Fig_OctopusDice_NAME,문어 다이스,Octopus Dice,タコダイス,章鱼骰子,
CNT_Item,CNT_Fig_OctopusDice_DESC,"[포카드] 완성 시 칩수 +80, 미사용 주사위 1개당 칩수 +20 추가","+80 Chips on completing [Four of a Kind], plus +20 Chips for each unused die",[フォーカード]完成時、チップ+80、未使用サイコロ1個につきチップ+20を追加,完成【四条】时，筹码+80，另外每有1个未使用骰子增加20筹码,
CNT_Item,CNT_Fig_StingrayDice_NAME,가오리 다이스,Manta Dice,マンタダイス,蝠鲼骰子,
CNT_Item,CNT_Fig_StingrayDice_DESC,[포카드] 완성 시 적용된 모든 디버프 해제,Removes all debuffs on completing [Four of a Kind],[フォーカード]完成時、付与された全てのデバフを解除,完成【四条】时，解除所有已附加的减益效果,
CNT_Item,CNT_Fig_WhirlpoolTrophy_NAME,소용돌이 트로피,Whirlpool Trophy,渦のトロフィー,旋涡奖杯,
CNT_Item,CNT_Fig_WhirlpoolTrophy_DESC,전투 종료 시 처치한 적의 체력만큼 골드 획득,Gain gold equal to the defeated enemy's HP at the end of battle,戦闘終了時、撃破した敵のHPと同じ量のゴールドを獲得,战斗结束时，获得等同于被击败敌人体力的金币,
CNT_Item,CNT_Fig_SharkDice_NAME,상어 다이스,Shark Dice,サメダイス,鲨鱼骰子,
CNT_Item,CNT_Fig_SharkDice_DESC,[풀하우스] 완성 시 적 남은 체력의 20% 피해,Deals damage equal to 20% of the enemy's remaining HP on completing [Full House],[フルハウス]完成時、敵の残りHPの20%のダメージ,完成【葫芦】时，造成敌人剩余体力20%的伤害,
CNT_Item,CNT_Fig_Bone_NAME,뼈다구,Bone,骨,骨头,
CNT_Item,CNT_Fig_Bone_DESC,사망 위기를 넘길 때마다 영구 배수 +3.0,Permanently +3.0 multiplier every time you survive a near-death moment,死の危機を乗り越えるたびに永久倍率+3.0,每次挺过死亡危机时，永久增加倍率+3.0,
CNT_Item,CNT_Fig_AbyssalEye_NAME,심연의 동공,Abyssal Pupil,深淵の瞳,深渊瞳孔,
CNT_Item,CNT_Fig_AbyssalEye_DESC,[투 페어] 완성 시 적에게 적용된 모든 디버프 지속시간 +1턴,+1 turn duration to all debuffs applied to the enemy on completing [Two Pair],[ツーペア]完成時、敵に付与された全てのデバフの持続時間+1ターン,完成【两对】时，敌人身上所有减益效果持续时间+1回合,
CNT_Item,CNT_Fig_AnglerfishDoll_NAME,아귀 인형,Angler Doll,アンコウの人形,鮟鱇玩偶,
CNT_Item,CNT_Fig_AnglerfishDoll_DESC,전투 시작 시 적의 최대 체력 15% 감소,Reduces the enemy's max HP by 15% at the start of battle,戦闘開始時、敵の最大HPを15%減少,战斗开始时，敌人最大体力减少15%,
CNT_Item,CNT_Fig_Starfish_NAME,불가사리,Starfish,ヒトデ,海星,
CNT_Item,CNT_Fig_Starfish_DESC,[전투당 1회] [야추] 완성 시 잃은 체력의 10% 즉시 회복,[Once per battle] Instantly recover 10% of lost HP on completing [Yacht],[戦闘ごとに1回][ヤッツィー]完成時、失ったHPの10%を即座に回復,【每场战斗1次】完成【快艇】时，立即恢复已损失体力的10%,
CNT_Item,CNT_Fig_SnowflakeCrystal_NAME,눈꽃 결정,Snowflake Crystal,雪の結晶,雪花结晶,
CNT_Item,CNT_Fig_SnowflakeCrystal_DESC,아이스 코팅에 배수 +1.2 효과 추가,Adds a +1.2 multiplier effect to Ice Coating,アイスコーティングに倍率+1.2の効果を追加,为冰霜涂层附加倍率+1.2效果,
CNT_Item,CNT_Fig_GlacierDice_NAME,만년설 다이스,Permafrost Dice,万年雪ダイス,万年雪骰子,
CNT_Item,CNT_Fig_GlacierDice_DESC,아이스 코팅에 칩수 +10 효과 추가,Adds a +10 Chips effect to Ice Coating,アイスコーティングにチップ+10の効果を追加,为冰霜涂层附加筹码+10效果,
CNT_Item,CNT_Fig_IceCrystal_NAME,얼음 수정,Ice Crystal,氷の結晶,冰晶,
CNT_Item,CNT_Fig_IceCrystal_DESC,[트리플] 완성 시 최대 체력 +3,+3 max HP on completing [Triple],[スリーカード]完成時、最大HP+3,完成【三条】时，最大体力+3,
CNT_Item,CNT_Fig_YetiClub_NAME,예티의 방망이,Yeti's Club,イエティの棍棒,雪怪之棒,
CNT_Item,CNT_Fig_YetiClub_DESC,[풀하우스] 완성 시 적에게 피해 70,Deals 70 damage to the enemy on completing [Full House],[フルハウス]完成時、敵に70ダメージ,完成【葫芦】时，对敌人造成70点伤害,
CNT_Item,CNT_Fig_FrozenHeart_NAME,얼어붙은 심장,Frozen Heart,凍った心臓,冰封之心,
CNT_Item,CNT_Fig_FrozenHeart_DESC,[전투당 1회] 체력이 1이 되는 치명상을 입으면 1턴간 무적,[Once per battle] Become invincible for 1 turn when a fatal blow would leave you at 1 HP,[戦闘ごとに1回]HPが1になる致命傷を受けると1ターンの間無敵になる,【每场战斗1次】受到会使体力变为1的致命伤时，获得1回合无敌,
CNT_Item,CNT_Fig_Ashes_NAME,잿가루,Ash Dust,灰の粉,灰烬,
CNT_Item,CNT_Fig_Ashes_DESC,[눈금 1] 3개 이상 결산 시 적 명중률 -25%,-25% enemy accuracy when 3 or more dice showing [1] are scored,[目1]が3個以上決算されると敵の命中率-25%,结算中出现3个以上[点数1]时，敌人命中率-25%,
CNT_Item,CNT_Fig_UndertakerScythe_NAME,장의사의 낫,Undertaker's Scythe,埋葬人の鎌,掘墓人的镰刀,
CNT_Item,CNT_Fig_UndertakerScythe_DESC,적 처치 시 처치한 적 최대 체력의 25%만큼 다음 적에게 피해 이월,"On defeating an enemy, carries over damage equal to 25% of its max HP to the next enemy",敵を撃破した時、撃破した敵の最大HPの25%分のダメージを次の敵に持ち越す,击败敌人时，将其最大体力25%的伤害转移给下一个敌人,
CNT_Item,CNT_Fig_Skull_NAME,두개골,Skull,頭蓋骨,骷髅,
CNT_Item,CNT_Fig_Skull_DESC,[눈금 6] 3개 이상 결산 시 골드 +40,+40 gold when 3 or more dice showing [6] are scored,[目6]が3個以上決算されるとゴールド+40,结算中出现3个以上[点数6]时，金币+40,
CNT_Item,CNT_Fig_SanunDice_NAME,사눈 다이스,Sanoon Dice,サヌンダイス,萨努骰子,
CNT_Item,CNT_Fig_SanunDice_DESC,주사위를 파괴할 때마다 영구 배수 +0.2,Permanently +0.2 multiplier every time a die is destroyed,サイコロを破壊するたびに永久倍率+0.2,每次摧毁骰子时，永久增加倍率+0.2,
CNT_Item,CNT_Fig_MustacheCrescent_NAME,콧수염 초승달,Mustache Crescent,口髭の三日月,胡子月牙,
