table,key,ko,en,ja,zh-Hans,note
TUT,Tut_10,전리품이 나왔군 적을 쓰러트리면 확정적으로 얻는 아이템이지,Loot dropped. It's an item you're guaranteed to get when you defeat an enemy.,戦利品が出たな。敵を倒すと確定で手に入るアイテムだ,掉落了战利品，这是击败敌人后必定获得的物品,
TUT,Tut_11,첫번째 보상을 선택해라!,Choose your first reward!,最初の報酬を選べ!,选择你的第一个奖励吧!,
TUT,Tut_12,좋아 이제 상점으로 들어가라,Good. Now head into the shop.,よし、今度は店に入れ,好，现在进入商店吧,
TUT,Tut_13,여기가 바로 상점이다. 먼저 '피규어'는 가지고 있기만 해도 게임 내내 아주 쏠쏠한 버프를 주지.,"This is the shop. First, just holding a 'Figure' gives you a handy buff for the whole run.",ここが店だ。まず「フィギュア」は持っているだけでゲーム中ずっと役立つバフを与えてくれる。,这里就是商店。首先，「手办」只要持有就能在整局游戏中提供实用的增益效果。,
TUT,Tut_14,스낵'은 네가 원할 때 언제든 먹어치워서 즉시 효과를 볼 수 있는 일회용 아이템이다.,'Snacks' are one-time items you can eat anytime for an instant effect.,「スナック」はいつでも食べて即座に効果を得られる使い捨てアイテムだ。,「零食」是可以随时食用、立即生效的一次性道具。,
TUT,Tut_15,주사위 코팅'은 평범한 주사위에 특별한 능력을 덧발라주는 아주 훌륭한 녀석이지.,'Dice Coating' is a great way to give an ordinary die a special power.,「サイコロコーティング」は普通のサイコロに特別な能力を塗り重ねる、実に優れモノだ。,「骰子涂层」是能给普通骰子附加特殊能力的绝佳道具。,
TUT,Tut_16,티켓'은 네 족보의 파괴력을 영구적으로 뻥튀기해준다.,'Tickets' permanently boost the destructive power of your hands.,「チケット」はお前の役の破壊力を永久に増幅してくれる。,「门票」能永久提升你牌型的破坏力。,
TUT,Tut_17,마지막으로 '주사위 구매'를 통해 네 덱에 아예 뼈대부터 다른 주사위들을 추가할 수도 있다.,"Finally, you can 'buy dice' to add completely different dice to your deck.",最後に「サイコロ購入」で、根本から違うサイコロをデッキに追加することもできる。,最后，你还可以通过「购买骰子」把全新种类的骰子加入你的牌组。,
TUT,Tut_18,각 아이템에 마우스를 올려보면 무슨 능력이 있는지 상세히 나오니 잘 읽어보라고.,Hover over each item to see exactly what it does — read up.,各アイテムにマウスを乗せれば、どんな能力があるか詳しく出てくるからよく読んでおけ。,把鼠标悬停在每个道具上就能看到详细能力说明，好好看看吧。,
TUT,Tut_19,"자,백문이 불여일견! 저기 있는 '하이롤러 주사위'와 '피규어'를 하나씩 구매해 봐라.","Alright, seeing is believing! Go buy one 'High Roller Dice' and one 'Figure' over there.",さあ、百聞は一見に如かず!あそこにある「ハイローラーダイス」と「フィギュア」を一つずつ買ってみろ。,好了，百闻不如一见！去买一个「高额掷骰」和一个「手办」试试。,
TUT,Tut_20,"좋아,쇼핑은 끝났다. '다음 스테이지' 버튼을 눌러 다음 제물을 만나러 가자고!","Good, shopping's done. Hit the 'Next Stage' button and let's go meet the next sacrifice!",よし、買い物は終わりだ。「次のステージ」ボタンを押して次の生贄に会いに行くぞ!,好，购物结束了。按下「下一关」按钮，去见见下一个祭品吧!,
TUT,Tut_21,"크크크,방금 산 하이롤러 주사위가 나왔군. 저 높은 눈금들을 봐라! 그리고 피규어를 클릭하여 능력들을 확인해봐라","Kekeke, that High Roller Dice you just bought showed up. Look at those high numbers! Also, click the figure to check its ability.",くくく、さっき買ったハイローラーダイスが出たな。あの高い目を見ろ!そしてフィギュアをクリックして能力を確認してみろ,呵呵呵，刚买的高额掷骰出现了。看看那些高点数！再点一下手办确认能力吧,
TUT,Tut_22,또 한 번의 야추다! 설명은 생략한다. 놈을 단숨에 쓸어버려라!,Another Yacht! No need to explain. Wipe it out in one shot!,またヤッツィーだ!説明は省く。一気に片付けろ!,又是一个快艇！不用多说了，一口气把它清掉吧！,
TUT,Tut_23,"훌륭하군. 이번 상점에서는 특별히 '페퍼민트'와 '가니쉬','하트 주사위,'주사위 코팅을 구매해라","Excellent. This time, be sure to buy 'Peppermint,' 'Garnish,' 'Heart Dice,' and a 'Dice Coating.'",見事だ。今回の店では特に「ペパーミント」と「ガーニッシュ」「ハートダイス」「サイコロコーティング」を買っておけ,干得好。这次商店里，一定要买「薄荷糖」「装饰品」「爱心骰子」和「骰子涂层」,
TUT,Tut_24,"코팅 주사위를 골랐군, 주사위를 선택해서 코팅해라!","You picked a coating, good. Now select a die to coat it!",コーティングを選んだな、サイコロを選んでコーティングしろ!,选好涂层了，选一个骰子来涂上吧！,
TUT,Tut_25,"이런! 보스 몬스터가 나왔군, 저녀석을 죽이면 다른 바이옴으로 넘어 갈 수 있지! 빠르게 해치워 보자고",Uh oh! A boss monster showed up. Kill it and you can move on to a new biome! Let's take it down fast.,おっと!ボスモンスターが出たな、あいつを倒せば別のバイオームに進めるぞ!さっさとやっつけよう,哎呀！Boss怪物出现了，打倒它就能进入其他生态区域！快速解决它吧,
TUT,Tut_26,좋아! 바로 코팅주사위가 나왔군 주사위를 강화해주는 아주 괜찮은 놈이지...,Nice! There's the coated die. It's a pretty solid way to power up your dice...,よし!ちょうどコーティングダイスが出たな。サイコロを強化してくれる、なかなかの奴だ…,好！正好出现了涂层骰子，这可是能强化骰子的好东西…,
TUT,Tut_27,주사위가 괜찮게 나왔군 바로 끝내기를 눌러볼까?,Not a bad roll. Shall we hit Finish right away?,なかなかいい目が出たな。すぐ「終了」を押してみるか?,骰子出得不错嘛，直接按「结束」看看？,
TUT,Tut_28,이런! 적이 공격을 했어! hp가 0이 되기전에 먼저 해치워야돼!,Uh oh! The enemy attacked! You need to finish it before your HP hits 0!,おっと!敵が攻撃してきたぞ!HPが0になる前に先にやっつけろ!,糟了！敌人攻击了！要在HP变成0之前先解决它！,
TUT,Tut_29,하트 주사위가 나왔군! 주사위 값만큼 hp를 회복할 수 있지!,A Heart Dice showed up! You can recover HP equal to its value!,ハートダイスが出たな!サイコロの数値分だけHPを回復できるぞ!,出现了爱心骰子！可以按骰子点数回复HP！,
TUT,Tut_30,가니쉬로 확률을 올리고 페퍼민트를 먹은 채 몬스터를 처치하면... 몬스터를 박제해서 피규어로 만들 수 있지! 한번 사용해봐라.,"Boost the odds with Garnish, eat a Peppermint, then defeat a monster... and you can turn it into a stuffed Figure! Try it out.",ガーニッシュで確率を上げ、ペパーミントを食べた状態でモンスターを倒せば…モンスターを剥製にしてフィギュアにできるぞ!一度試してみろ。,用装饰品提高概率，吃下薄荷糖后击败怪物…就能把怪物制成标本变成手办！试试看吧。,
TUT,Tut_31,"자,이제 자유롭게 몬스터를 처치해봐라!","Alright, now go defeat monsters freely!",さあ、今度は自由にモンスターを倒してみろ!,好了，现在自由地去击败怪物吧！,
TUT,Tut_32,페퍼민트를 사용하면 적 몬스터를 피규어로 바꿔 버릴 수 있지,Using Peppermint lets you turn an enemy monster into a Figure.,ペパーミントを使えば敵モンスターをフィギュアに変えられるぞ,使用薄荷糖可以把敌方怪物变成手办,
TUT,Tut_33,보스를 잡으면 새로운 바이옴으로 갈 수 있지! 이제 직접 게임을 플레이 해볼까?,Defeat the boss and you can move to a new biome! Ready to play on your own now?,ボスを倒せば新しいバイオームに行けるぞ!さあ、自分でゲームをプレイしてみるか?,打倒Boss就能前往新的生态区域！现在开始自己玩游戏吧？,
