table,key,ko,en,ja,zh-Hans,note
CNT_Monster,CNT_MON_JUNGLE_MUSHROOM_DESC,열대 기후에서 독기를 품고 자라난 정글 포자입니다.,A jungle spore grown toxic in the tropical climate.,熱帯気候の中で毒気を帯びて育ったジャングルの胞子です。,在热带气候中孕育出毒气的丛林孢子。,
CNT_Monster,CNT_MON_LEOPARD_NAME,흑표범,Black Leopard,黒豹,黑豹,
CNT_Monster,CNT_MON_LEOPARD_DESC,어둠 속에 숨어 숨통을 노리는 날렵한 흑표범입니다.,"A nimble black leopard that lurks in the dark, hunting for the throat.",闇に潜み獲物の喉元を狙う機敏な黒豹です。,潜伏于黑暗中、伺机咬喉的敏捷黑豹。,
CNT_Monster,CNT_MON_VINE_GOLEM_NAME,덩굴 골렘,Vine Golem,蔓ゴーレム,藤蔓魔像,
CNT_Monster,CNT_MON_VINE_GOLEM_DESC,정글의 고대 고목과 덩굴이 얽혀 만들어진 골렘입니다.,A golem formed from ancient jungle trees entangled with vines.,ジャングルの古木と蔓が絡み合って生まれたゴーレムです。,丛林古树与藤蔓交缠而成的魔像。,
CNT_Monster,CNT_MON_DESERT_FOX_NAME,사막여우,Desert Fox,砂漠狐,沙漠狐,
CNT_Monster,CNT_MON_DESERT_FOX_DESC,모래바람 사이를 빠르게 오가는 날렵한 여우입니다.,A swift fox darting through the sandstorm.,砂嵐の中を素早く駆け回る狐です。,在沙尘暴中敏捷穿梭的狐狸。,
CNT_Monster,CNT_MON_DESERT_SKELETON_SOLDIER_NAME,해골 병사,Skeleton Soldier,骸骨兵士,骸骨士兵,
CNT_Monster,CNT_MON_DESERT_SKELETON_SOLDIER_DESC,낡은 뼈대와 방패를 쥔 사막의 언데드 병사입니다.,An undead desert soldier bearing an old frame and shield.,古びた骨と盾を持つ砂漠のアンデッド兵士です。,手持破旧骨架与盾牌的沙漠不死士兵。,
CNT_Monster,CNT_MON_DESERT_SLIME_NAME,사막 슬라임,Desert Slime,砂漠スライム,沙漠史莱姆,
CNT_Monster,CNT_MON_DESERT_SLIME_DESC,모래알이 섞여 굳어진 단단한 젤리 형태의 슬라임입니다.,"A firm, jelly-like slime hardened with grains of sand mixed in.",砂粒が混じって固まった硬いゼリー状のスライムです。,混入沙粒凝固而成的坚硬果冻状史莱姆。,
CNT_Monster,CNT_MON_ECHO_CATUS_NAME,선인장,Cactus,サボテン,仙人掌,
CNT_Monster,CNT_MON_ECHO_CATUS_DESC,접근하는 모든 것을 꿰뚫는 사막의 선인장입니다.,A desert cactus that pierces anything that comes near.,近づくものすべてを貫く砂漠のサボテンです。,刺穿一切靠近之物的沙漠仙人掌。,
CNT_Monster,CNT_MON_MIRAGE_WISP_NAME,신기루 정령,Mirage Wisp,蜃気楼の精,幻影精灵,
CNT_Monster,CNT_MON_MIRAGE_WISP_DESC,신기루 가루를 날려 공격을 회피하는 기이한 정령입니다.,A strange spirit that scatters mirage dust to dodge attacks.,蜃気楼の粉を散らして攻撃を回避する奇妙な精霊です。,撒出幻影粉尘躲避攻击的奇异精灵。,
CNT_Monster,CNT_MON_SAND_WORM_NAME,샌드 웜,Sand Worm,サンドワーム,沙虫,
CNT_Monster,CNT_MON_SAND_WORM_DESC,모래 밑바닥에서 거대한 이빨을 드러내는 사막 기스크입니다.,A desert creature that bares its massive teeth from beneath the sand.,砂の底から巨大な牙をむき出す砂漠の怪物です。,从沙底露出巨齿的沙漠怪物。,
CNT_Monster,CNT_MON_SPHINX_NAME,스핑크스,Sphinx,スフィンクス,斯芬克斯,
CNT_Monster,CNT_MON_SPHINX_DESC,모래 궁전을 지키며 수수께끼를 내는 고대의 수호수입니다.,An ancient guardian beast that guards the sand palace and poses riddles.,砂の宮殿を守り謎を出す古代の守護獣です。,守卫沙之宫殿、出谜题的古代守护兽。,
CNT_Monster,CNT_MON_TIME_SAND_TURTLE_NAME,모래시계 거북,Hourglass Turtle,砂時計の亀,沙漏龟,
CNT_Monster,CNT_MON_TIME_SAND_TURTLE_DESC,등껍질에 흐르는 모래로 시간을 통제하는 거북이입니다.,A turtle that controls time with the sand flowing over its shell.,甲羅に流れる砂で時間を操る亀です。,用甲壳上流动的沙粒掌控时间的乌龟。,
CNT_Monster,CNT_MON_BLIND_PRIEST_NAME,눈먼 사제,Blind Priest,盲目の司祭,盲眼祭司,
CNT_Monster,CNT_MON_BLIND_PRIEST_DESC,무너진 유적에서 안대를 쓴 채 기도를 올리는 사제입니다.,A priest praying with a blindfold amid the ruined remains.,崩れた遺跡で目隠しをして祈りを捧げる司祭です。,在废墟中蒙眼祈祷的祭司。,
CNT_Monster,CNT_MON_DART_TOTEM_NAME,독침 석상,Dart Totem,毒針石像,毒针石像,
CNT_Monster,CNT_MON_DART_TOTEM_DESC,고대의 매커니즘으로 무한히 독침을 사격하는 장치입니다.,An ancient mechanism that endlessly fires poison darts.,古代の機構で無限に毒針を発射する装置です。,用古代机关无限发射毒针的装置。,
CNT_Monster,CNT_MON_GARGOYLE_TOTEM_NAME,가고일 석상,Gargoyle Totem,ガーゴイル石像,石像鬼,
CNT_Monster,CNT_MON_GARGOYLE_TOTEM_DESC,침입자를 감지하면 돌날개를 펼치고 돌진하는 석상입니다.,A statue that spreads its stone wings and charges when it senses intruders.,侵入者を感知すると石の翼を広げ突進する石像です。,察觉入侵者便展开石翼冲锋的石像。,
CNT_Monster,CNT_MON_GOLD_SKELETON_NAME,황금 해골,Gold Skeleton,黄金の骸骨,黄金骸骨,
CNT_Monster,CNT_MON_GOLD_SKELETON_DESC,온몸이 황금으로 도금된 고대 전사의 유골입니다.,"The gilded remains of an ancient warrior, plated head to toe in gold.",全身が黄金でコーティングされた古代戦士の遺骨です。,全身镀金的古代战士遗骨。,
CNT_Monster,CNT_MON_MIMIC_NAME,미믹,Mimic,ミミック,宝箱怪,
CNT_Monster,CNT_MON_MIMIC_DESC,보물상자로 위장하여 모험가의 통념을 깨부수는 괴물입니다.,A monster disguised as a treasure chest to shatter adventurers' assumptions.,宝箱に成りすまし冒険者の常識を打ち破る怪物です。,伪装成宝箱、打破冒险者常识的怪物。,
CNT_Monster,CNT_MON_TORMENTOR_NAME,거신병,Tormentor,巨神兵,巨神兵,
CNT_Monster,CNT_MON_TORMENTOR_DESC,영혼의 힘이 깃든 동력핵으로 움직이는 거대 거신병입니다.,A colossal war golem powered by a soul-infused core.,魂の力が込められた動力核で動く巨大な巨神兵です。,由灌注灵魂之力的动力核驱动的巨型战兵。,
CNT_Monster,CNT_MON_ANCIENT_CORE_NAME,고대의 핵,Ancient Core,古代の核,古代核心,
CNT_Monster,CNT_MON_ANCIENT_CORE_DESC,지하 동굴의 모든 맥동을 관장하는 태초의 룬스톤입니다.,A primordial runestone governing every pulse of the underground cavern.,地下洞窟のすべての脈動を司る太古のルーンストーンです。,掌控地下洞穴一切脉动的太古符文石。,
CNT_Monster,CNT_MON_CANDLE_KOBOLD_NAME,양초 코볼트,Candle Kobold,蝋燭コボルド,蜡烛狗头人,
CNT_Monster,CNT_MON_CANDLE_KOBOLD_DESC,머리 위에 반쯤 탄 양초를 얹고 다니는 탐욕스런 아인종입니다.,A greedy demihuman that wanders with a half-burnt candle atop its head.,頭に半分燃えた蝋燭を乗せて歩く欲深い亜人種です。,头顶半烧尽蜡烛四处游荡的贪婪亚人。,
CNT_Monster,CNT_MON_ECHO_BAT_NAME,울림 박쥐,Echo Bat,反響コウモリ,回声蝙蝠,
CNT_Monster,CNT_MON_ECHO_BAT_DESC,초음파 울림 방울을 통해 시야를 차단하고 교란하는 박쥐입니다.,A bat that blocks and disturbs vision with resonating ultrasonic pulses.,超音波の反響で視界を遮り混乱させるコウモリです。,用超音波回响遮蔽并扰乱视线的蝙蝠。,
CNT_Monster,CNT_MON_OBSIDIAN_GOLEM_NAME,흑요석 골렘,Obsidian Golem,黒曜石ゴーレム,黑曜石魔像,
CNT_Monster,CNT_MON_OBSIDIAN_GOLEM_DESC,단단한 흑요석 파편들이 뭉쳐 굳어진 거대한 암석 괴물입니다.,A massive rock monster formed from hardened shards of obsidian.,硬い黒曜石の破片が寄り集まり固まった巨大な岩石怪物です。,由坚硬黑曜石碎片凝聚而成的巨型岩石怪物。,
CNT_Monster,CNT_MON_SKELETON_MINER_NAME,해골 광부,Skeleton Miner,骸骨採掘者,骸骨矿工,
CNT_Monster,CNT_MON_SKELETON_MINER_DESC,폐광에 갇혀 영원히 곡괭이질을 반복하는 불쌍한 언데드입니다.,"A pitiful undead trapped in an abandoned mine, forever swinging its pick.",廃坑に閉じ込められ永遠につるはしを振るう哀れなアンデッドです。,被困废弃矿坑、永远挥动铁镐的可怜不死者。,
CNT_Monster,CNT_MON_FLAME_DRAKE_NAME,화염 아룡,Flame Drake,炎の亜竜,炎焰亚龙,
CNT_Monster,CNT_MON_FLAME_DRAKE_DESC,화산 분화구 심층부에 군림하는 고대 아룡의 왕입니다.,The ancient drake king reigning deep within the volcanic crater.,火山の火口深くに君臨する古代亜竜の王です。,统治火山口深处的古代亚龙之王。,
CNT_Monster,CNT_MON_HELL_HOUND_NAME,헬하운드,Hell Hound,ヘルハウンド,地狱犬,
CNT_Monster,CNT_MON_HELL_HOUND_DESC,불타는 송곳니로 사냥감의 목덜미를 찢는 지옥의 사냥개입니다.,An infernal hunting dog that tears at prey's necks with burning fangs.,燃える牙で獲物の首筋を引き裂く地獄の猟犬です。,用燃烧的獠牙撕咬猎物颈部的地狱猎犬。,
CNT_Monster,CNT_MON_IGNIS_WOLF_NAME,이그니스 울프,Ignis Wolf,イグニスウルフ,焰狐狼,
CNT_Monster,CNT_MON_IGNIS_WOLF_DESC,푸른 화염 털가죽을 두르고 무리를 이끄는 화산의 영리한 늑대입니다.,A cunning volcanic wolf clad in blue flame fur that leads its pack.,青い炎の毛皮を纏い群れを率いる火山の賢いオオカミです。,披着蓝色火焰毛皮、率领群狼的火山狼。,
CNT_Monster,CNT_MON_LAVA_GOLEM_NAME,용암 골렘,Lava Golem,溶岩ゴーレム,熔岩魔像,
CNT_Monster,CNT_MON_LAVA_GOLEM_DESC,뜨거운 마그마가 식어 굳어진 대형 고대 정령 암석입니다.,A large ancient elemental rock formed from cooled magma.,熱いマグマが冷え固まった大型の古代精霊岩石です。,由高温岩浆冷却凝固而成的大型古代精灵岩石。,
CNT_Monster,CNT_MON_MAGMA_SLIME_NAME,마그마 슬라임,Magma Slime,マグマスライム,岩浆史莱姆,
CNT_Monster,CNT_MON_MAGMA_SLIME_DESC,부글부글 끓어오르는 인공 용암 젤리로 구성된 슬라임입니다.,"A slime composed of bubbling, artificial lava jelly.",ぶくぶくと沸き立つ人工溶岩ゼリーで構成されたスライムです。,由沸腾的人造熔岩果冻构成的史莱姆。,
CNT_Monster,CNT_MON_PHOENIX_CHICK_NAME,아기 피닉스,Phoenix Chick,幼いフェニックス,幼火凰,
CNT_Monster,CNT_MON_PHOENIX_CHICK_DESC,재생의 불꽃 깃털을 품고 태어난 환수 지스크의 새끼입니다.,"The hatchling of a mythical beast, born bearing feathers of regenerative flame.",再生の炎の羽根を宿して生まれた幻獣の幼体です。,天生带有再生火羽的幻兽幼体。,
CNT_Monster,CNT_MON_VOACANO_SPIDER_NAME,화산 거미,Volcano Spider,火山蜘蛛,火山蜘蛛,
CNT_Monster,CNT_MON_VOACANO_SPIDER_DESC,마그마 액을 품은 거미줄로 먹잇감을 꽁꽁 묶는 기괴한 거미입니다.,A bizarre spider that binds prey in webs laced with magma fluid.,マグマ液を含んだ糸で獲物をきつく縛る奇怪なクモです。,用浸满岩浆液的蜘蛛丝紧紧束缚猎物的怪异蜘蛛。,
CNT_Monster,CNT_MON_VOLCANO_TURTLE_NAME,화산 거북,Volcano Turtle,火山亀,火山龟,
CNT_Monster,CNT_MON_VOLCANO_TURTLE_DESC,등껍질이 무거운 현무암으로 이루어져 지진을 일으키는 거북입니다.,A turtle whose heavy basalt shell causes tremors when it moves.,甲羅が重い玄武岩でできており地震を引き起こす亀です。,甲壳由沉重玄武岩构成、行动会引发地震的乌龟。,
CNT_Monster,CNT_MON_BOG_WITCH_NAME,수렁의 마녀,Bog Witch,沼の魔女,沼泽女巫,
CNT_Monster,CNT_MON_BOG_WITCH_DESC,기괴한 솥단지에 저주의 약을 끓여 음모를 꾸미는 수렁의 마녀입니다.,A swamp witch brewing cursed potions in a grotesque cauldron to hatch her schemes.,奇怪な鍋で呪いの薬を煮て陰謀を企む沼の魔女です。,用怪异大锅熬煮咒药、密谋阴谋的沼泽女巫。,
CNT_Monster,CNT_MON_LIZARD_NAME,늪지 악어,Swamp Crocodile,沼のワニ,沼泽鳄,
CNT_Monster,CNT_MON_LIZARD_DESC,단단한 가죽과 무자비한 이빨로 침입자를 물어뜯는 거대 악어입니다.,A giant crocodile that bites down on intruders with tough hide and merciless teeth.,硬い皮と無慈悲な牙で侵入者を噬み砕く巨大なワニです。,用坚韧皮革与凶残牙齿撕咬入侵者的巨鳄。,
CNT_Monster,CNT_MON_SPORE_ZOMBIE_NAME,포자 좀비,Spore Zombie,胞子ゾンビ,孢子僵尸,
CNT_Monster,CNT_MON_SPORE_ZOMBIE_DESC,독버섯 좀비 균에 감염되어 자아를 잃고 헤매는 썩은 시체입니다.,"A rotting corpse, mindless and wandering after infection by poison-mushroom zombie spores.",毒キノコのゾンビ菌に感染し自我を失って徘徊する腐乱死体です。,感染毒菇僵尸菌、失去自我四处游荡的腐烂尸体。,
CNT_Monster,CNT_MON_TOXIC_HYDRA_NAME,맹독 히드라,Toxic Hydra,猛毒ヒドラ,剧毒九头蛇,
CNT_Monster,CNT_MON_TOXIC_HYDRA_DESC,잘려도 재생하는 머리들과 치명적인 역병의 독니를 가진 마수입니다.,"A beast with regenerating heads and lethal, plague-tipped fangs.",切られても再生する頭と致命的な疫病の毒牙を持つ魔獣です。,拥有可再生头部与致命瘟疫毒牙的魔兽。,
CNT_Monster,CNT_MON_BOTTLE_WRAITH_NAME,유리병 편지 악령,Bottled Letter Wraith,瓶詰め手紙の悪霊,瓶中信亡魂,
CNT_Monster,CNT_MON_BOTTLE_WRAITH_DESC,유리병 속 남겨진 편지의 미련 때문에 해안가를 맴오는 젖은 악령입니다.,"A soggy, lingering spirit that haunts the shore, bound by regret for a letter left in a bottle.",瓶の中の手紙への未練で海岸を彷徨う濡れた悪霊です。,因执念于瓶中信件而徘徊海边的湿冷亡灵。,
CNT_Monster,CNT_MON_COCONUT_APE_NAME,코코넛 원숭이,Coconut Ape,ココナッツエイプ,椰子猿人,
CNT_Monster,CNT_MON_COCONUT_APE_DESC,해변가의 단단한 코코넛 열매를 던져 대가리를 깨부수는 아인종입니다.,A demihuman that cracks skulls open by hurling hard beach coconuts.,硬い海辺のココナッツを投げて頭を割る亜人種です。,投掷坚硬海滩椰子砸碎头骨的亚人。,
CNT_Monster,CNT_MON_JELLYFISH_CAPTAIN_NAME,해파리 선장,Jellyfish Captain,クラゲ船長,水母船长,
CNT_Monster,CNT_MON_JELLYFISH_CAPTAIN_DESC,유령선 해적단의 선장 모자를 쓰고 부하들을 부리는 거대 해파리입니다.,"A giant jellyfish wearing a ghost pirate captain's hat, commanding its crew.",幽霊海賊団の船長帽を被り手下を率いる巨大なクラゲです。,戴着幽灵海盗船长帽、统领手下的巨大水母。,
CNT_Monster,CNT_MON_LOBSTER_NAME,랍스터,Lobster,ロブスター,龙虾,
CNT_Monster,CNT_MON_LOBSTER_DESC,집게발의 무시무시한 악력으로 조개를 깨 부수고 자라난 괴물 갑각류입니다.,A monstrous crustacean grown fearsome from crushing shells with its claws.,ハサミの恐ろしい握力で貝を割りながら育った怪物甲殻類です。,靠钳子恐怖握力砸碎贝壳而成长的怪物甲壳类。,
CNT_Monster,CNT_MON_PEARL_MIMIC_NAME,진주 조개,Pearl Clam,真珠貝,珍珠贝,
CNT_Monster,CNT_MON_PEARL_MIMIC_DESC,영롱한 흑진주로 모험가를 유혹하여 삼켜버리는 기괴한 포식조개입니다.,A bizarre predatory clam that lures adventurers with a lustrous black pearl before devouring them.,艶やかな黒真珠で冒険者を誘惑し丸呑みする奇怪な捕食貝です。,用绚丽黑珍珠诱惑冒险者并吞食的怪异捕食贝类。,
CNT_Monster,CNT_MON_SANDCASTLE_CRAB_NAME,모래성 소라게,Sandcastle Crab,砂の城ヤドカリ,沙堡寄居蟹,
CNT_Monster,CNT_MON_SANDCASTLE_CRAB_DESC,해안가의 모래로 정교한 성을 쌓아 몸을 숨기는 영리한 소라게입니다.,A clever hermit crab that hides itself by building an elaborate sandcastle.,海辺の砂で精巧な城を築いて身を隠す賢いヤドカリです。,用海边沙粒筑起精巧城堡藏身的聪明寄居蟹。,
CNT_Monster,CNT_MON_FRIGATE_NAME,가오리,Manta Ray,マンタ,蝠鲼,
CNT_Monster,CNT_MON_FRIGATE_DESC,해수면을 가르며 날카로운 날개 깃으로 위협을 가하는 대양의 가오리입니다.,An ocean manta ray that threatens with sharp wing-like fins as it cuts through the surf.,海面を切り裂きながら鋭い翼状のヒレで威嚇する大洋のマンタです。,划破海面、用锋利翼状鳍威胁四方的大洋蝠鲼。,
CNT_Monster,CNT_MON_SHARK_KING_NAME,상어왕,Shark King,シャークキング,鲨鱼王,
CNT_Monster,CNT_MON_SHARK_KING_DESC,무자비한 턱관절과 피의 냄새를 쫓는 대해양의 폭군 상어왕입니다.,"The merciless tyrant of the open ocean, tracking the scent of blood with brutal jaws.",無慈悲な顎で血の匂いを追う大海の暴君シャークキングです。,用无情颚骨追逐血腥、称霸大洋的暴君鲨鱼王。,
CNT_Monster,CNT_MON_SUCKER_SQUID_NAME,빨판 오징어,Sucker Squid,吸盤イカ,吸盘鱿鱼,
CNT_Monster,CNT_MON_SUCKER_SQUID_DESC,수많은 빨판으로 플레이어의 배를 휘감아 질식시키는 심해 오징어입니다.,A deep-sea squid that wraps its countless suckers around its prey to suffocate it.,無数の吸盤で相手の体を締め上げ窒息させる深海のイカです。,用无数吸盘缠绕猎物身体使其窒息的深海鱿鱼。,
CNT_Monster,CNT_MON_WHIRLPOOL_SPIRIT_NAME,소용돌이 정령,Whirlpool Spirit,渦の精霊,旋涌之灵,
CNT_Monster,CNT_MON_WHIRLPOOL_SPIRIT_DESC,거대한 물줄기와 정령의 저주로 소용돌이를 만들어 바다를 침몰시킵니다.,A spirit that summons towering waters and a curse to spawn whirlpools that sink ships.,巨大な水流と精霊の呪いで渦を作り海を沈める精霊です。,以巨浪与诅咒制造旋涡、令船只沉没的精灵。,
CNT_Monster,CNT_MON_EYE_OF_ABYSS_NAME,심연의 눈,Eye of the Abyss,深淵の目,深渊之眼,
CNT_Monster,CNT_MON_EYE_OF_ABYSS_DESC,한 줄기 빛도 없는 어둠 속에서 오컬트 심연의 파동을 뿜어내는 거대 안구입니다.,"A giant eyeball radiating occult, abyssal pulses from within lightless darkness.",一筋の光もない闇の中でオカルト的な深淵の波動を放つ巨大な眼球です。,在毫无光线的黑暗中散发神秘深渊波动的巨眼。,
CNT_Monster,CNT_MON_LEVIATHAN_NAME,리바이어던,Leviathan,リヴァイアサン,利维坦,
CNT_Monster,CNT_MON_LEVIATHAN_DESC,"고대 전설 속 해룡의 해골 외형을 한, 심해 바이옴 최고의 고대 신화수입니다.","The legendary sea dragon's skeletal form, the greatest ancient myth-beast of the deep-sea biome.",伝説の海竜の骸骨の姿をした、深海バイオーム最強の古代神話獣です。,呈传说海龙骸骨之形、深海生态区域最强的古代神话兽。,
CNT_Monster,CNT_MON_MONKFISH_NAME,발광 아귀,Glowing Monkfish,発光アンコウ,发光鮟鱇,
CNT_Monster,CNT_MON_MONKFISH_DESC,기괴한 아귀 초롱 불빛으로 심해의 모험가들을 유인하여 사냥하는 마수입니다.,A fiend that lures deep-sea adventurers to their doom with its eerie anglerfish lantern.,怪しいアンコウの提灯で深海の冒険者を誘い狩る魔獣です。,用怪异鮟鱇灯笼诱猎深海冒险者的魔兽。,
