table,key,ko,en,ja,zh-Hans,note
ENC,ENC_ABYSS_DEALER_DLG_05,"계약서에 서명을 하실지, 아니면 가던 길을 가실지 결정하십시오.","Decide — sign the contract, or continue on your way.",契約書に署名するか、それともそのまま道を進むか、決めるのです。,请决定：在契约上签字，或是继续前行。,
ENC,ENC_ABYSS_DEALER_CHOICE_A,"현재 보유한 모든 족보 영구 강화 수치(티켓)를 초기화하는 대신, 막대한 양의 골드 획득 [1000x스테이지]",Reset all your permanent hand-boost values (Tickets) in exchange for a massive amount of gold [1000x Stage],現在持っているすべての役の永久強化値(チケット)をリセットする代わりに、莫大な量のゴールドを獲得 [1000x ステージ],重置当前持有的所有牌型永久强化数值（门票），换取巨额金币 [1000x关卡],
ENC,ENC_ABYSS_DEALER_CHOICE_B,리롤(Re-roll) 횟수 1회 추가 획득 후 이동,"Gain 1 extra Re-roll, then move on",リロール回数を1回追加獲得して移動する,获得1次额外重投机会后继续前进,
ENC,ENC_BLIND_FORTUNE_TELLER_NAME,눈먼 점술가,Blind Fortune Teller,盲目の占い師,盲眼占卜师,
ENC,ENC_BLIND_FORTUNE_TELLER_DLG_01,눈이 보이지 않아도 자네가 짊어진 운명의 무게가 느껴지는구만...,"Though I cannot see, I can feel the weight of the fate you carry...",目は見えなくとも、お前が背負う運命の重みが感じられるよ…,即便看不见，也能感受到你所背负的命运之重…,
ENC,ENC_BLIND_FORTUNE_TELLER_DLG_02,모든 면이 88로 가득 찬 절대적인 행운의 주사위가 보인다....,"I see it... a die of absolute fortune, every face filled with 88...",すべての面が88で満ちた、絶対的な幸運のサイコロが見える…,我看见了…一颗每一面都是88的绝对幸运骰子…,
ENC,ENC_BLIND_FORTUNE_TELLER_DLG_03,하지만 과도한 행운은 그만큼 강력한 액운을 불러오는 법...,But excessive luck always summons misfortune just as powerful...,しかし過度な幸運は、それだけ強力な災いを呼ぶもの…,但过度的幸运，也必将招来同等强大的厄运…,
ENC,ENC_BLIND_FORTUNE_TELLER_DLG_04,"이 주사위를 쥐는 순간, 다음 적은 전례 없는 강함을 얻게 될지어니...","The moment you take this die, your next foe shall gain unprecedented strength...",このサイコロを手にした瞬間、次の敵は前例のない強さを得るであろう…,一旦握住这颗骰子，下一个敌人便将获得前所未有的力量…,
ENC,ENC_BLIND_FORTUNE_TELLER_DLG_05,이 위험한 예언을 받아들이시겠는가?,Will you accept this dangerous prophecy?,この危険な予言を受け入れるか?,你可愿意接受这危险的预言？,
ENC,ENC_BLIND_FORTUNE_TELLER_CHOICE_A,"88주사위를 획득하는 대신, 다음 적 체력 100% 증가","Gain the 88 Dice, but the next enemy's HP increases by 100%",88ダイスを獲得する代わりに、次の敵のHPが100%増加する,获得88骰子，但下一个敌人的体力增加100%,
ENC,ENC_BLIND_FORTUNE_TELLER_CHOICE_B,최대 체력 5% 회복 후 이동,"Recover 5% of max HP, then move on",最大HPの5%を回復して移動する,恢复5%最大体力后继续前进,
ENC,ENC_POACHER_NAME,밀렵꾼,Poacher,密猟者,盗猎者,
ENC,ENC_POACHER_DLG_01,"훗, 사냥감이 달아나나니깐 조용히 하라고.","Heh, quit making noise, you'll scare the game off.",フッ、獲物が逃げるから静かにしろ。,哼，猎物会被吓跑的，安静点。,
ENC,ENC_POACHER_DLG_02,이 자루 안에 뭐가 들어있는지 궁금한 모양이지?,"Curious what's in this sack, huh?",この袋の中に何が入ってるか気になるようだな?,好奇这袋子里装的是什么吧？,
ENC,ENC_POACHER_DLG_03,방금 막 사냥해 온 따끈따끈한 피규어들이라네.,"Fresh figures, just hunted down.",たった今狩ってきたばかりの、まだ温かいフィギュアだ。,是刚刚捕获来的、还热乎着的手办。,
ENC,ENC_POACHER_DLG_04,상점의 진열대 한 칸을 영원히 못 쓰게 폐쇄해도 좋다면...,If you don't mind permanently shutting down one shop slot forever...,店の陳列台一つを永遠に使えなくしても構わないなら…,若你不介意永久封闭一个商店货架…,
ENC,ENC_POACHER_DLG_05,이 진귀한 녀석들을 목걸이로 넘겨주지. 거래하겠나?,I'll hand these rare things over for the taking. Deal or not?,この珍しい奴らをくれてやろう。取引するか?,我就把这些稀罕货让给你。成交吗？,
ENC,ENC_POACHER_CHOICE_A,무작위 피규어 3개를 얻습니다. 추가로 상점 슬롯 1개 영구 봉인,Gain 3 random Figures. 1 additional shop slot is permanently sealed,ランダムなフィギュア3個を獲得。さらに店のスロット1つが永久に封鎖される,获得3个随机手办。另外永久封锁1个商店格位,
ENC,ENC_POACHER_CHOICE_B,아무 일도 일어나지 않음,Nothing happens,何も起こらない,什么都不会发生,
ENC,ENC_SACRIFICED_GIRL_NAME,제물이 된 소녀,Sacrificed Girl,生贄にされた少女,被献祭的少女,
ENC,ENC_SACRIFICED_GIRL_DLG_01,가시덩굴이 살을 파고들어 너무 아파요...,"The thorny vines are digging into my flesh, it hurts so much...",棘のつるが肉に食い込んで、とても痛いです…,荆棘藤蔓深深刺入肌肉，好痛…,
ENC,ENC_SACRIFICED_GIRL_DLG_02,누군가가 저를 차원 제단의 제물로 바쳤답니다.,Someone offered me up as a sacrifice on a dimensional altar.,誰かが私を次元の祭壇の生贄に捧げたのです。,有人把我献祭在了次元祭坛之上。,
ENC,ENC_SACRIFICED_GIRL_DLG_03,가지고 계신 주사위 2개를 부셔서 제 늪직한 사슬을 깨뜨려주세요.,Please break 2 of your dice to shatter these heavy chains binding me.,持っているサイコロ2個を壊して、私を縛るこの重い鎖を砕いてください。,请打碎您手中的2个骰子，斩断束缚我的沉重锁链。,
ENC,ENC_SACRIFICED_GIRL_DLG_04,와주신다면 제 영혼이 담긴 선물을 드릴게요.,"If you come save me, I'll give you a gift with my soul in it.",来てくださるなら、私の魂が込められた贈り物を差し上げます。,若您愿意救我，我会将寄托了灵魂的礼物送给您。,
ENC,ENC_SACRIFICED_GIRL_DLG_05,아니면... 그냥 저를 방치하고 갈 길을 가실 건가요?,Or... will you just leave me here and go your own way?,それとも…私を放っておいて、そのまま行ってしまうのですか?,还是……您会就这样丢下我，独自离去吗？,
ENC,ENC_SACRIFICED_GIRL_CHOICE_A,"소지한 주사위 2개를 소모하여 제물을 풀어주고, 전용 피규어 즉시 획득",Consume 2 of your dice to free the sacrifice and immediately gain an exclusive Figure,所持サイコロ2個を消費して生贄を解放し、専用フィギュアを即座に獲得する,消耗2个手持骰子解救祭品，立即获得专属手办,
ENC,ENC_SACRIFICED_GIRL_CHOICE_B,소량의 골드 획득 후 이동,"Gain a small amount of gold, then move on",少量のゴールドを獲得して移動する,获得少量金币后继续前进,
ENC,ENC_ALCHEMIST_NAME,연금술사,Alchemist,錬金術師,炼金术士,
ENC,ENC_ALCHEMIST_DLG_01,"콜록, 아주 훌륭한 실험 재료... 아니, 손님이 오셨군.","*cough* An excellent test subject... ah, no, a customer has arrived.",ゴホン、実に素晴らしい実験材料…いや、お客様がいらしたな。,咳咳，多么绝佳的实验材料……不，是有客人来了。,
ENC,ENC_ALCHEMIST_DLG_02,새로운 촉매가 주사위 덱 전체를 완전히 비틀어버릴 걸세.,This new catalyst will twist your entire dice deck completely out of shape.,新しい触媒がサイコロデッキ全体を完全に捻じ曲げてしまうだろう。,这全新的催化剂，会将整套骰子牌组彻底扭曲改造。,
ENC,ENC_ALCHEMIST_DLG_03,어떤 눈금과 코팅이 튀어나올지는 나도 장담할 수 없지만...,"I can't guarantee what pips or coatings will pop out, but...",どの目とコーティングが出てくるかは、私も保証できないがな…,会跳出什么点数和涂层，连我也无法保证……,
ENC,ENC_ALCHEMIST_DLG_04,내 실험에 동참해 준다면 두둑한 연구 지원금을 약속하지.,"If you join my experiment, I promise a generous research grant.",私の実験に加わってくれるなら、たっぷりの研究助成金を約束しよう。,若你愿意加入我的实验，我保证给你丰厚的研究经费。,
ENC,ENC_ALCHEMIST_DLG_05,덱을 통째로 뒤흔드는 광기의 실험을 시작해보겠나?,Shall we begin the mad experiment that shakes up your entire deck?,デッキ全体を揺るがす狂気の実験を始めてみるか?,要不要开始这场彻底颠覆整个牌组的疯狂实验？,
ENC,ENC_ALCHEMIST_CHOICE_A,내 덱의 주사위들을 모두 무작위에 무작위 코팅으로 변화시키고 3000골드 획득,"Transform every die in your deck into a random type with a random coating, and gain 3000 gold",自分のデッキのサイコロをすべてランダムな種類・ランダムなコーティングに変化させ、3000ゴールドを獲得する,将牌组中所有骰子随机变换种类并涂上随机涂层，同时获得3000金币,
ENC,ENC_ALCHEMIST_CHOICE_B,잃은 체력의 10%를 회복하고 이동,"Recover 10% of lost HP, then move on",失ったHPの10%を回復して移動する,恢复已损失体力的10%后继续前进,
ENC,ENC_WISH_WANDERER_NAME,숙원의 방랑자,Wish Wanderer,願いの放浪者,心愿的流浪者,
ENC,ENC_WISH_WANDERER_DLG_01,높은 고도까지 올라오느라 기틀이 다 상하셨겠군.,Climbing all the way up to this altitude must've worn your frame down.,こんな高い高度まで登ってきて、体がすっかり傷んでいることだろう。,爬到这么高的地方，你的身体想必已经损耗不小了吧。,
ENC,ENC_WISH_WANDERER_DLG_02,나는 인조류로서 평생 하늘을 맴돌며 숙원을 쫓고 있다네.,"As an artificial bird, I've circled the sky my whole life, chasing a long-held wish.",私は人造の鳥として、一生空を巡り、宿願を追い続けている。,作为一只人造飞鸟，我一生都在天空中盘旋，追逐着心中的宿愿。,
ENC,ENC_WISH_WANDERER_DLG_03,절벽 아래로 몸을 던지는 자만이 진정한 도약을 얻는 법.,Only one who casts themselves off the cliff can attain a true leap.,崖の下へ身を投げる者だけが、真の飛躍を得るのだ。,唯有纵身跃下悬崖之人，才能获得真正的飞跃。,
ENC,ENC_WISH_WANDERER_DLG_04,다음 전투에서 목숨을 구걸하지 않을 각오가 되었다면...,If you're resolved not to beg for your life in the next battle...,次の戦闘で命を乞わない覚悟ができているなら…,若你已下定决心，在下一场战斗中绝不乞求性命……,
ENC,ENC_WISH_WANDERER_DLG_05,내 숙원의 결정인 전용 피규어를 자네에게 양도하지.,I shall hand over to you the exclusive Figure — the crystallization of my long-held wish.,私の宿願の結晶である専用フィギュアを、お前に譲り渡そう。,我便将凝聚着我毕生心愿的专属手办，转交给你。,
ENC,ENC_WISH_WANDERER_CHOICE_A,"[투신] 다음 전투 시작 시 체력이 1로 고정되지만, 전용 피규어 획득","[Leap] HP is fixed at 1 at the start of the next battle, but you gain the exclusive Figure",[投身] 次の戦闘開始時にHPが1に固定されるが、専用フィギュアを獲得する,[跃下] 下场战斗开始时体力固定为1，但获得专属手办,
ENC,ENC_WISH_WANDERER_CHOICE_B,[관망] 아무 일도 일어나지 않고 노드 통과,"[Watch] Nothing happens, pass through the node",[観望] 何も起こらずノードを通過する,[观望] 什么都不会发生，直接通过节点,
ENC,ENC_FORGOTTEN_EXPLORER_NAME,탐험가,Forgotten Explorer,忘れられた探検家,被遗忘的探险家,
ENC,ENC_FORGOTTEN_EXPLORER_DLG_01,지하 깊은 곳에서 고대의 유물이 나를 부르고 있어!,An ancient relic deep underground is calling to me!,地下深くから古代の遺物が私を呼んでいる!,地下深处，古代遗物在呼唤着我！,
ENC,ENC_FORGOTTEN_EXPLORER_DLG_02,벽을 파헤쳐야 하는데 도구와 식량이 전부 떨어졌어.,"I need to dig through this wall, but I've run out of tools and food completely!",壁を掘り進めなければならないのに、道具と食料が全部尽きてしまった!,我得挖穿这道墙，可工具和食物全都用完了！,
ENC,ENC_FORGOTTEN_EXPLORER_DLG_03,가지고 있는 스낵 주머니를 통째로 나에게 넘겨줄 수 있어?,"Can you hand over your entire snack pouch to me, right now?",持っているスナック袋をそっくり全部譲ってもらえないか?,能不能把你身上整袋零食都给我？,
ENC,ENC_FORGOTTEN_EXPLORER_DLG_04,그걸 다 집어 삼키고 벽을 뚫어 엄청난 보물을 발굴해낼게!,"I'll swallow it all down, break through this wall, and dig up incredible treasure!",それを全部食い尽くし、壁を突き破って、とんでもない宝物を発掘してくるぞ!,我会把它们全部吞下，凿穿石壁，挖出惊人的宝藏！,
ENC,ENC_FORGOTTEN_EXPLORER_CHOICE_A,"소지한 스낵 모두 파괴, 5000골드 즉시 획득","Destroy all your snacks, immediately gain 5000 gold",所持しているスナックをすべて破壊し、5000ゴールドを即座に獲得する,摧毁所持有的所有零食，立即获得5000金币,
ENC,ENC_FORGOTTEN_EXPLORER_CHOICE_B,골드 일부 소모 후 주사위 부품 획득,Spend some gold to obtain a dice part,ゴールドを一部消費してサイコロパーツを獲得する,消耗部分金币，获得骰子部件,
ENC,ENC_MAD_HATTER_NAME,모자 장수,Mad Hatter,マッドハッター,疯帽子商人,
ENC,ENC_MAD_HATTER_DLG_01,어서 오세요! 즐거운 다과회 시간입니다요!,"Welcome, welcome! Time for a delightful little tea party!",いらっしゃいませ!楽しいお茶会の時間ですよ!,欢迎欢迎！愉快的茶会时间到啦！,
ENC,ENC_MAD_HATTER_DLG_02,제 초록색 모자와 어울리는 멋진 음식들을 준비했지요.,I've prepared some lovely food to match my green hat.,私の緑の帽子に似合う素敵な料理をご用意しましたよ。,我准备了与我的绿帽子相配的美味佳肴哟。,
ENC,ENC_MAD_HATTER_DLG_03,당신의 스낵 주머니를 아주 먹음직스럽게 개편해 드리겠습니다요.,Allow me to rearrange your snack pouch into something ever so appetizing.,あなたのスナック袋を、とても美味しそうに作り替えて差し上げますよ。,让我把您的零食袋改造得垂涎欲滴吧。,
ENC,ENC_MAD_HATTER_DLG_04,든든한 고기류 정식으로 채우고 싶으십니까요?,Would you like it filled with a hearty meat course?,がっつりお肉のコース料理でお腹を満たしたいですか?,想用扎实的肉类套餐填满它吗？,
ENC,ENC_MAD_HATTER_DLG_05,아니면 상큼하고 달콤한 후식으로 가득 채우시겠습니까요?,Or shall I fill it up with something fresh and sweet for dessert?,それとも爽やかで甘いデザートでいっぱいにしましょうか?,还是要用清新香甜的甜点将它填满呢？,
ENC,ENC_MAD_HATTER_CHOICE_A,1. 내 스낵을 스테이크/팬케이크로 가득 채웁니다,1. Fill my snacks with Steak/Pancakes,1. 自分のスナックをステーキ/パンケーキで満たす,1. 将我的零食填满为牛排/煎饼,
ENC,ENC_MAD_HATTER_CHOICE_B,2. 내 스낵을 페퍼민트/체리로 가득 채웁니다,2. Fill my snacks with Peppermint/Cherry,2. 自分のスナックをペパーミント/チェリーで満たす,2. 将我的零食填满为薄荷糖/樱桃,
ENC,ENC_RUSTY_CAPTAIN_NAME,녹슨닻의 선장,Rusty-Anchor Captain,錨錆びの船長,锈锚船长,
ENC,ENC_RUSTY_CAPTAIN_DLG_01,"어이, 살아있는 인간이 이 깊은 바다까지 무슨 일인가?","Oi, what's a living human doing all the way down in these deep seas?",おい、生きた人間がこんな深海まで何の用だ?,嘿，活人跑到这深海底下来干什么？,
ENC,ENC_RUSTY_CAPTAIN_DLG_02,"내 배는 가라앉았지만, 보물창고는 아직 쓸만하다네.","My ship's sunk, but the treasure hold's still good for use.",俺の船は沈んだが、宝物庫はまだ使えるぞ。,我的船沉了，但宝库还能用。,
ENC,ENC_RUSTY_CAPTAIN_DLG_03,자네의 단단한 껍데기를 조금만 뜯어내 넘겨주면...,If you'd just tear off a bit of that tough shell of yours and hand it over...,お前の硬い甲羅を少しだけ剥がして渡してくれれば…,你只要撕下点你那坚硬的外壳给我……,
ENC,ENC_RUSTY_CAPTAIN_DLG_04,고양이 녀석들에게 압력을 넣어 진열대를 넓혀주도록 하지.,I'll lean on those cat folks to widen the display shelves for you.,猫の連中に圧力をかけて、陳列台を広げてやろう。,我会去压那些猫家伙，让他们扩大货架给你用。,
ENC,ENC_RUSTY_CAPTAIN_DLG_05,바다 밑바닥에서 건져 올린 인양품을 가질 텐가?,"So, will you take this salvage hauled up from the ocean floor?",海の底から引き上げた引き揚げ品を受け取るか?,你要不要收下这从海底捞起来的打捞物？,
ENC,ENC_RUSTY_CAPTAIN_CHOICE_A,1. 최대 체력 20% 영구 감소 대신 다음 상점 모든 슬롯 0원,"1. Permanently reduce max HP by 20%, in exchange all slots in the next shop cost 0 gold",1. 最大HPを永久に20%減少させる代わりに、次の店の全スロットが0ゴールドになる,1. 永久减少20%最大体力，换取下个商店所有货架0金币,
ENC,ENC_RUSTY_CAPTAIN_CHOICE_B,2. 전투 없이 다음 노드로 안전하게 이동,2. Safely move to the next node without combat,2. 戦闘なしで次のノードへ安全に移動する,2. 无需战斗，安全前往下一个节点,
