No.	itemID	nameKey	descKey	requiredFigureIds	필요 피규어 (이름)	필요 피규어 수	effectType	effectValue	defaultNameKo	defaultDescKo
24	SYN_MUSHROOM_KINGDOM	CNT_SYN_MUSHROOM_KINGDOM_NAME	CNT_SYN_MUSHROOM_KINGDOM_DESC	Fig_002, Fig_019, Fig_051	Fig_002(버섯), Fig_019(맹그로브 버섯), Fig_051(좀비 버섯)	3	MaxHpUp	5	버섯 수프	숲, 정글, 늪지에 흩어져 자라난 버섯 삼형제가 한 냄비에 모였다. 최대 체력 영구 +5
25	SYN_GREENHOUSE_FRIENDS	CNT_SYN_GREENHOUSE_FRIENDS_NAME	CNT_SYN_GREENHOUSE_FRIENDS_DESC	Fig_021, Fig_023, Fig_016, Fig_027, Fig_022	Fig_021(바나나), Fig_023(바나나 왕관), Fig_016(붉은 연꽃), Fig_027(선인장 화분), Fig_022(덩굴 가면)	5	StartWithSnackGarnish	1	네이처 유니온	식물을 닮은 것들이 뿌리를 내리고 하나의 정원을 이룬다. 가니쉬를 보유한 채로 시작
26	SYN_PHOENIX_BROTHERHOOD	CNT_SYN_PHOENIX_BROTHERHOOD_NAME	CNT_SYN_PHOENIX_BROTHERHOOD_DESC	Fig_028, Fig_048, Fig_051, Fig_053, Fig_068	Fig_028(유리병 속 신기루), Fig_048(불사조 깃털), Fig_051(좀비 버섯), Fig_053(도마뱀 꼬리), Fig_068(불가사리)	5	MaxHpUp	10	RE:VIVE	죽음을 몇 번이고 우습게 넘긴 자들의 결의. 최대 체력 영구 +10
27	SYN_BEYOND_DEATH	CNT_SYN_BEYOND_DEATH_NAME	CNT_SYN_BEYOND_DEATH_DESC	Fig_009, Fig_046, Fig_065, Fig_073	Fig_009(투기의 머리띠), Fig_046(용암 가면), Fig_065(뼈다구), Fig_073(얼어붙은 심장)	4	MaxHpUp	8	라그나로크	세상이 끝나는 순간에도 물러서지 않는 최후의 전사들. 최대 체력 영구 +8
28	SYN_ANCIENT_REMNANTS	CNT_SYN_ANCIENT_REMNANTS_NAME	CNT_SYN_ANCIENT_REMNANTS_DESC	Fig_037, Fig_042, Fig_032, Fig_058	Fig_037(거신의 징표), Fig_042(고대의 룬), Fig_032(현자의 돌), Fig_058(남겨진 편지)	4	StraightMultiplierUp	0.3	고대의 잔재	아주 오래전 누군가 남기고 간 것들이 다시 빛을 본다. [스트레이트] 완성 시 배수 영구 +0.3
29	SYN_EYE_CONTACT	CNT_SYN_EYE_CONTACT_NAME	CNT_SYN_EYE_CONTACT_DESC	Fig_066, Fig_086, Fig_011	Fig_066(심연의 동공), Fig_086(고양이 눈), Fig_011(솔가의 눈)	3	VictoryGoldChanceUp	0.02	지켜보는 자	어디선가 이쪽을 가만히 지켜보고 있는 눈들이 있다. 전투 승리 시 추가 골드 획득 확률 영구 +2%
30	SYN_HERO_ARMORY	CNT_SYN_HERO_ARMORY_NAME	CNT_SYN_HERO_ARMORY_DESC	Fig_004, Fig_005, Fig_075	Fig_004(화살통), Fig_005(돌도끼), Fig_075(장의사의 낫)	3	BaseChipsUp	2	용사의 무기고	손에 쥐는 순간 평범한 이도 전사로 만들어주는 무기들. 영구 주사위 칩수 +2
31	SYN_LUCKY_TRINKETS	CNT_SYN_LUCKY_TRINKETS_NAME	CNT_SYN_LUCKY_TRINKETS_DESC	Fig_001, Fig_010, Fig_020, Fig_024	Fig_001(끈끈이 공), Fig_010(번개 편자), Fig_020(나비 반지), Fig_024(사막여우 꼬리)	4	ShopPriceDiscountUp	5	행운의 잡동사니	주머니 속에 하나쯤 넣어두고 싶어지는 자잘한 행운들. 상점 아이템 구매 비용 영구 -5%
32	SYN_WIZARD_DRAWER	CNT_SYN_WIZARD_DRAWER_NAME	CNT_SYN_WIZARD_DRAWER_DESC	Fig_032, Fig_042, Fig_052	Fig_032(현자의 돌), Fig_042(고대의 룬), Fig_052(마녀의 랜턴)	3	StraightMultiplierUp	0.1	마법사의 서랍	서랍 속에 넣어둔 것들이 밤마다 은은히 빛나는 걸 눈치챈 사람은 많지 않다. [스트레이트] 완성 시 배수 영구 +0.1
33	SYN_ACCESSORY_SHOP	CNT_SYN_ACCESSORY_SHOP_NAME	CNT_SYN_ACCESSORY_SHOP_DESC	Fig_020, Fig_026, Fig_017	Fig_020(나비 반지), Fig_026(모래 목걸이), Fig_017(관음 왕관)	3	ShopPriceDiscountUp	5	장신구 상점	몸에 걸치는 장신구들이 나란히 진열된 작은 쇼윈도. 상점 아이템 구매 비용 영구 -5%
34	SYN_BEAST_TRACE	CNT_SYN_BEAST_TRACE_NAME	CNT_SYN_BEAST_TRACE_DESC	Fig_043, Fig_095, Fig_092	Fig_043(지옥견 송곳니), Fig_095(황금 발톱), Fig_092(검은 지느러미)	3	StartWithSnackSteak	1	우두머리 흔적	짐승의 몸에서 떨어져 나온 것들에는 여전히 힘이 남아 있다. 스테이크를 보유한 채로 시작
35	SYN_CURSED_HEIRLOOMS	CNT_SYN_CURSED_HEIRLOOMS_NAME	CNT_SYN_CURSED_HEIRLOOMS_DESC	Fig_083, Fig_052, Fig_065	Fig_083(저주받은 석관), Fig_052(마녀의 랜턴), Fig_065(뼈다구)	3	YachtMultiplierUp	0.2	저주받은 유품	함부로 손대면 안 될 것 같은 유품들이 주인을 기다린다. [야추] 완성 시 배수 영구 +0.2
36	SYN_GAMBLERS_TABLE	CNT_SYN_GAMBLERS_TABLE_NAME	CNT_SYN_GAMBLERS_TABLE_DESC	Fig_082, Fig_079, Fig_036, Fig_091	Fig_082(스페이드 킹), Fig_079(깜짝 상자), Fig_036(보물상자), Fig_091(복고양이)	4	VictoryGoldChanceUp	0.02	도박꾼의 테이블	운을 시험하는 자들의 테이블 위에는 늘 행운의 부적 하나쯤 놓여 있다. 전투 승리 시 추가 골드 획득 확률 영구 +2%
37	SYN_SMALL_CREATURES	CNT_SYN_SMALL_CREATURES_NAME	CNT_SYN_SMALL_CREATURES_DESC	Fig_049, Fig_029, Fig_020	Fig_049(화산 거미줄), Fig_029(모래벌레 인형), Fig_020(나비 반지)	3	StartWithSnackCherry	1	작은 것들의 왕	눈에 잘 띄지 않지만 존재감만은 확실한 작은 것들의 지배자. 체리를 보유한 채로 시작
38	SYN_MIDAS_TOUCH	CNT_SYN_MIDAS_TOUCH_NAME	CNT_SYN_MIDAS_TOUCH_DESC	Fig_035, Fig_087, Fig_089, Fig_095	Fig_035(황금 해골), Fig_087(황금 종), Fig_089(황금 털뭉치), Fig_095(황금 발톱)	4	StartGoldUp	100	모스틱스의 손길	'황금의 사도' 모스틱스가 스쳐간 자리엔 반드시 금빛이 남는다는 전설. 시작 골드 영구 +100G
